File Name,Area,Perimeter,Hu Moment 1,Hu Moment 2,Hu Moment 3,Hu Moment 4,Hu Moment 5,Hu Moment 6,Hu Moment 7,Label
0557.jpg,36392.5,776.1837655305862,0.17219057169716007,0.0018555892665471343,2.5433367972887853e-05,9.302726370747863e-07,-4.4711175843631876e-12,-3.799569754438993e-08,6.961409621919763e-13,0
0502.jpg,32993.0,775.2792184352875,0.16975906123116713,0.0014978002345844986,1.2207316005071628e-05,6.192866966544515e-08,5.38369471998241e-14,-1.914402758033561e-09,9.47819587352764e-16,0
0570.jpg,25266.5,731.3208485841751,0.19106518380912363,0.00704947184928235,0.0002828361230645287,1.622269045639199e-05,9.20262670399959e-10,1.3620603755121161e-06,-6.005515489211423e-10,3
0008.jpg,26337.5,733.6639940738678,0.18892138841932365,0.006813011137258086,0.0003019512239262497,1.326912810614917e-05,8.181192992915594e-10,1.059891275451782e-06,-1.900713141954919e-10,3
0728.jpg,31103.0,741.9655101299286,0.17588302601565703,0.0025856299361103597,0.00031313944140464237,9.806201044832184e-06,9.577647133581885e-11,2.7806998963184763e-07,5.348934733065796e-10,0
0753.jpg,32993.0,775.2792184352875,0.16975906123116713,0.0014978002345844986,1.2207316005071628e-05,6.192866966544515e-08,5.38369471998241e-14,-1.914402758033561e-09,9.47819587352764e-16,0
0593.jpg,35359.5,770.3259009122849,0.17215344152825057,0.0017642081522514235,4.913539335519829e-05,1.6610552208976583e-06,-1.0145009481106025e-11,-3.714817697622062e-08,-1.105746404997975e-11,0
0943.jpg,36392.5,776.1837655305862,0.17219057169716007,0.0018555892665471343,2.5433367972887853e-05,9.302726370747863e-07,-4.4711175843631876e-12,-3.799569754438993e-08,6.961409621919763e-13,0
0420.jpg,33088.5,729.6639944314957,0.17113066287126116,0.001948522990040895,0.00021879799836298127,1.702959983935791e-06,-3.1665727445967526e-11,-2.93589966413542e-08,-8.823892563154248e-12,0
0618.jpg,105.0,1373.6610300540924,48.11112570036832,2120.0938527721883,834.3655573916706,182.98435398518248,38682.90173560489,-8366.486963515008,60130.85855972511,4
0847.jpg,27303.0,672.0142821073532,0.1742418812644196,0.004312705571848992,0.000139517147409335,7.487382997608128e-06,2.4196502759964494e-10,4.910355328063619e-07,3.895226064570807e-12,3
0494.jpg,28099.0,674.0142812728882,0.1696191241347746,0.0019562934232323723,0.00040323692397427,7.660728808730713e-06,2.7525189940758006e-10,2.2420342647916865e-07,-3.248461457093988e-10,3
0938.jpg,27287.0,774.5584369897842,0.18510554938642154,0.004433977903983884,0.0004376759988704554,7.197735137824221e-06,-2.0604182611744453e-10,-4.021920794469942e-07,3.4749725522796313e-10,3
0532.jpg,36784.0,759.1959581375122,0.17331778587602892,0.002828198055817614,3.84290131802134e-05,2.1533813094125947e-07,-1.7298303371005036e-13,-1.143464178188668e-08,5.948139184666466e-13,0
1017.jpg,27223.5,713.2619735002518,0.1864017379617194,0.005825271389380893,0.0008736756729609617,2.3348093574067857e-05,3.298654105437097e-09,1.7709646218420826e-06,-4.88747602134121e-10,3
0830.jpg,28881.5,781.8061298131943,0.18538482836066034,0.0061155478057131445,0.00039408485719861884,3.522579386309694e-05,3.454425325541134e-09,1.8093564475770065e-06,2.3005340059802025e-09,3
0810.jpg,37605.0,786.6274166107178,0.17403549929085993,0.0025078232292966183,1.8403662648531178e-06,3.568145672525831e-08,-1.298189230959568e-16,-1.6331489546374985e-09,9.142652645114886e-15,0
0818.jpg,20587.5,788.1837655305862,0.26346449675401046,0.02892749608709873,0.0016555756008149942,0.00024249421273215633,8.59688880321507e-08,-3.00713462925439e-05,1.2734607077107722e-07,5
1048.jpg,37019.5,782.0416301488876,0.17407068074806883,0.0025182238842721126,2.4835853803037415e-06,8.383907794138653e-08,-3.82480288683446e-14,-4.038746008846989e-09,8.218231421156128e-16,0
0398.jpg,27268.5,768.2670258283615,0.20253886282650982,0.009231735920884864,0.0005086164649068545,2.692587397847645e-05,-1.9046417474592927e-09,-2.570821080373359e-06,2.510221146355089e-09,3
1145.jpg,18202.0,791.2548332214355,0.2621653363383813,0.027515495612329424,0.0008670328646197799,8.010977537898156e-05,3.190366348079372e-09,-1.2209352908745554e-05,-2.087036971702447e-08,5
1047.jpg,131.5,1537.9869318008423,47.89791465064751,207.28242965877212,110388.24502676472,39369.05599386897,2585783363.849545,-52462.92707354025,222493690.41813594,2
0637.jpg,25178.0,696.274167060852,0.18755647759286334,0.006360624234287148,0.000786110887899512,1.6648511072592955e-05,-7.169280159920808e-10,-5.496486593653396e-07,-1.764521419046533e-09,3
0180.jpg,25266.5,731.3208485841751,0.19106518380912363,0.00704947184928235,0.0002828361230645287,1.622269045639199e-05,9.20262670399959e-10,1.3620603755121161e-06,-6.005515489211423e-10,3
0896.jpg,26337.5,733.6639940738678,0.18892138841932365,0.006813011137258086,0.0003019512239262497,1.326912810614917e-05,8.181192992915594e-10,1.059891275451782e-06,-1.900713141954919e-10,3
0481.jpg,33715.0,781.4558436870575,0.18008919690539746,0.0041163377497839574,0.0003386481063106055,9.639333458391925e-06,5.506338165059082e-10,6.127678821676965e-07,1.0698135927952448e-11,0
0912.jpg,131.5,1537.9869318008423,47.89791465064751,207.28242965877212,110388.24502676472,39369.05599386897,2585783363.849545,-52462.92707354025,222493690.41813594,2
0887.jpg,37184.5,783.2132030725479,0.17456200663331495,0.0026726073893318723,2.1556509061665906e-06,3.751592022389297e-08,-8.746749005332374e-15,-1.9327230482798044e-09,6.108692782142159e-15,0
0948.jpg,32578.0,752.9949476718903,0.17320651144618626,0.0021837905538383273,6.516488259390325e-05,1.3622867739384888e-06,-5.222545656921222e-12,-2.283480239332832e-08,1.1724874003116154e-11,0
0334.jpg,37350.0,785.798989534378,0.17474627488753003,0.0027118366076456417,2.4806483921709115e-08,4.4134672059336214e-10,-1.2304772557896698e-18,-2.2876624017376896e-11,-7.864500727019767e-19,0
0029.jpg,37929.5,772.6690460443497,0.1728618513361213,0.0024087128012246894,2.795149364890438e-06,2.7091474195398703e-07,-2.3329423608868233e-13,-1.327040893918312e-08,-3.3938207935643894e-14,0
0090.jpg,34112.5,767.9827550649643,0.1804880658331628,0.0045516533610952155,0.00012345199569928158,8.396877629209715e-07,9.120922164728417e-13,2.1695400201300965e-08,-8.500412636201473e-12,0
