c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100
01-09-2018,2,164.1547999,155.467568,0.707846664,1.227070839,2.264965134,18.97888563,7.561194114,0.719496719,51.21878063,7.973372246,31.15550354,0.002228392,1.713008735,17.63442183,28.33470022,25.10230261,13.59906979,7.120964189,9.257514948,2.743170109,44.70346827,0.707846664,1.227070839,493.7967645,104.5538708,41.18760074,290.9653403,14.37955205,70.67845757,48.67900503,-69.20340324,0.14746748,1.495171996,0.049850161,0.411731644,33.21451119,0.410096235,90.32088858,2.352447219,4.028579559,3.819130564,9.430478553,7.104666929,0.102967479,27.07195731,2.036091296,78.34137117,7.047554364,6.981073133,7.870520921,4.715955335,4.625416104,-0.046137339,30.6975009,6.411242476,93.73933086,17.12361957,5.97661081,7.618151917,8.095883104,6.698373236,-0.325323641,39.60887309,16.52374195,94.03712178,35.63601517,155.467568,10.78940247,9.894964311,18.56782131,14.67236352,-0.290204847,4999.13749,111.8656779,41.84769634,1.211965084,1.223305941,1.240959167,1.275582314,#REF!,94.03712178,1.1865362,2.345960815,1.170857065,2.434568273,1.218357585,2.359767012,1.184284375,2.088600224,1.250915594,4.985403956,1.21547652,5.64087689,1.298768575,4.347072225,1.298117703,4.354379799,81.19158518
02-09-2018,2,162.1157368,153.6452232,0.454139869,0.671908956,2.260011181,18.63905009,7.844961777,0.702348357,49.73278091,7.742873995,29.48822541,0.002228306,2.586004248,16.74607654,28.21145298,23.41742157,13.16719296,7.79341316,9.218110051,2.596313896,43.97355714,0.454139869,0.671908956,493.6618891,104.5132056,41.58075234,290.6211899,14.31532307,69.51625734,48.05741677,-69.41408086,0.129028271,1.457910021,0.049858777,0.787260595,32.78127016,0.409464993,89.6836041,2.346750587,4.037999153,3.798300544,9.423194815,7.132928956,0.102696537,26.64926516,2.039318368,77.39914817,7.046285675,7.013980205,7.897945414,4.732055578,4.637409995,-0.05539869,30.46863654,6.417242635,93.31885739,17.07763918,5.928298197,7.53442714,8.102228097,6.713856012,-0.325742714,39.4693697,16.53955655,93.68571204,35.58957363,153.6452232,10.58088765,9.78607848,18.22981756,14.49863164,-0.290550317,4983.964449,111.1104009,42.32458594,1.212685108,1.224268794,1.241712332,1.275809765,#REF!,93.68571204,1.186850685,2.343038204,1.169364283,2.431821632,1.218338727,2.35195695,1.184253699,2.084077722,1.251862879,4.970414388,1.213690862,5.679657291,1.300243833,4.330626273,1.299201535,4.34222884,81.17292847
03-09-2018,2,153.7183878,142.8800917,0.634565098,0.683161463,2.085849933,16.67193853,6.70839177,0.656798572,50.02889354,8.287340683,28.98858924,0.002228374,1.918476046,16.57934487,28.94906389,24.19477982,12.6110313,7.289157026,9.599612317,2.557700938,43.96617231,0.634565098,0.683161463,495.6449466,104.5024574,40.74457232,295.4164173,14.56618026,63.73058233,47.32058599,-69.64537808,0.127730242,1.461919696,0.049647706,0.064490881,32.98279688,0.410025293,88.56634976,2.339860048,4.030567797,3.726369523,9.46763252,7.123819208,0.100933459,26.77061107,2.068083539,78.35462562,7.022272596,6.771039688,7.609317377,4.741603304,4.700244805,-0.066921795,30.41004507,6.453457998,91.61120545,16.87487429,5.921832232,7.673365126,8.104471116,6.849273658,-0.325224028,39.58874298,16.40747297,92.95077683,35.03822267,142.8800917,9.722952427,9.793757998,17.27456548,14.51877641,-0.28367548,4853.855271,104.4799141,41.31568483,1.209958434,1.222499132,1.240748405,1.275170684,#REF!,92.95077683,1.181665644,2.337353382,1.172078291,2.403781494,1.212584672,2.314738126,1.180831907,2.068247961,1.244724254,5.086231689,1.221058484,5.523689749,1.298130761,4.354232879,1.296564387,4.371949043,82.2590022
04-09-2018,2,169.2149522,157.342985,0.646557138,0.722743121,2.258068759,17.8717568,7.239109988,0.66239398,54.09775461,9.744850146,32.51729579,9.96E-05,1.48039267,19.22573033,33.96427447,26.93897184,14.83236743,7.958075836,9.436384933,2.897313633,43.15456926,0.646557138,0.722743121,494.3540408,104.4528708,40.28818137,292.6762294,14.605181,72.73662592,47.98045966,-69.45279412,0.168860801,1.490898515,0.058411284,0.093462365,32.26627983,0.410889234,88.16099683,2.344733084,4.066252246,3.819356424,9.45149422,7.1846737,0.107297812,24.71963248,2.004376188,70.82159448,7.061816634,7.45371134,8.09564858,4.950098841,4.856249763,0.022339012,29.93158434,6.366923334,91.99938943,17.0720135,6.144216638,7.652775397,8.142256053,6.751064249,-0.326825259,39.30959243,16.4836965,93.06283135,35.51697397,157.342985,10.70432688,9.960118014,18.1820587,14.67296505,-0.292369136,4956.460581,113.0352761,40.69471502,1.208107591,1.222409129,1.239303231,1.275184035,#REF!,93.06283135,1.182614776,2.339329779,1.154850258,2.462394375,1.214742882,2.36669215,1.182486485,2.086579166,1.245886096,5.06692373,1.19014478,6.259150424,1.291669955,4.428532771,1.295153159,4.388071476,81.28239917
05-09-2018,2,176.3350096,163.3075188,0.683940798,0.681608672,2.252391909,18.59180153,7.257897984,0.689548505,56.22601698,10.45764664,33.9886179,0,1.15697091,19.87923225,36.7448172,30.75029367,15.94387344,8.757604769,9.954738936,2.917772399,43.04477753,0.683940798,0.681608672,492.0513732,104.4885837,41.26669246,289.0174624,14.54892575,76.62106718,48.21729946,-69.34405718,0.433611823,1.497207365,0.075682086,0.086501865,32.17998229,0.411034391,88.23732239,2.349316416,4.137711783,3.915799376,9.50871261,7.225624963,0.108127042,24.07750486,1.96866951,67.53063884,7.061019468,7.412638938,7.739170705,5.060381068,4.973108613,-0.002118287,29.71804687,6.305687143,92.10858479,17.11141989,6.171808313,7.57324045,8.225830408,6.73674058,-0.330734317,39.00513428,16.39800418,93.2636258,35.64124896,163.3075188,10.49217175,9.782657145,18.19953701,14.36751106,-0.298517541,5010.555925,117.890316,41.61977433,1.207096696,1.22201848,1.238708735,1.275469422,#REF!,93.2636258,1.18371263,2.342268604,1.146268678,2.489188843,1.216728402,2.390982729,1.184377205,2.103966505,1.247127699,5.046490954,1.176043518,6.680413643,1.290383921,4.443716841,1.294491681,4.395681663,80.58060337
06-09-2018,2,176.6526377,166.7173318,0.729461139,0.726380044,2.23438414,19.85943018,7.498515834,0.746017549,56.83353731,10.4898533,33.57245399,0,1.100830985,19.23641272,31.30981284,27.7098845,15.08018626,8.774741578,9.756240723,2.929465357,44.68359,0.729461139,0.726380044,491.2304149,104.5097195,42.63592038,286.8438885,14.31608856,76.83934011,48.4328245,-69.24689515,0.194406417,1.538658853,0.35419267,0.344511238,31.91684307,0.411383991,89.33763495,2.353967559,4.140021302,3.925073534,9.513923668,7.193680978,0.104853086,25.25049562,1.986974942,70.75300573,7.07747975,7.3041102,7.781164012,4.929154152,5.009309548,-0.112677347,29.62119936,6.332072324,91.76323728,17.21929452,6.167209193,7.790944224,8.056247672,6.799257513,-0.334348644,38.9730678,16.45762912,92.68895205,35.90583255,166.7173318,10.20555608,9.488335038,17.97009865,13.91687128,-0.300577835,5063.440438,119.4746306,43.24340244,1.210405827,1.222972751,1.24068892,1.276891232,#REF!,92.68895205,1.188340994,2.344921835,1.152564743,2.480288043,1.215471787,2.396864237,1.181631705,2.11192132,1.253876374,4.93892502,1.185271978,6.397470315,1.287369611,4.479839065,1.287404441,4.479417351,79.8537342
07-09-2018,2,176.6543468,166.5905293,0.700582912,0.65783061,2.331876726,19.44169809,7.70377337,0.718284662,55.51068321,9.779209701,33.38158391,0,1.293921014,19.83633342,31.51284043,28.74785347,14.64667895,7.919354692,9.602665814,3.472100699,44.59386157,0.700582912,0.65783061,493.0254831,104.4522118,41.96914449,289.358905,14.47511754,77.22903426,48.33145234,-69.29156727,0.19384033,1.558142387,0.160772035,0.512093922,31.66514966,0.409481503,89.16642666,2.332245956,4.112987646,3.92341256,9.499795648,7.218297652,0.104591543,25.09334824,1.981670155,70.27202028,7.077375562,7.319897639,7.845785243,4.918820087,5.040254635,-0.153769574,29.33016664,6.323630277,90.37459313,17.22969878,6.342689469,8.36046529,7.982277905,7.052321535,-0.340414452,38.88175226,16.47734355,91.16566956,35.94999683,166.5905293,10.08176454,9.4392677,17.83597457,13.83921429,-0.302073043,5067.739061,119.1962246,42.45504954,1.210627198,1.223105311,1.240798354,1.276340485,#REF!,91.16566956,1.188754444,2.332956054,1.151558806,2.484286368,1.211880567,2.400892132,1.177169553,2.112065747,1.256449656,4.899400824,1.183537794,6.448469091,1.281092004,4.557554056,1.279038341,4.583736899,79.24069755
08-09-2018,2,158.0659429,148.3051071,0.706444732,0.594650539,1.855069875,19.87901917,5.241439578,0.643103589,40.69968141,2.950020329,32.67492398,0,0.797981765,19.10313305,35.45172851,28.82903499,12.65731576,8.006455189,10.16045769,3.176120989,43.71825861,0.706444732,0.594650539,492.9835428,104.4789998,42.39755115,290.8423921,14.18896251,64.32583478,47.37011917,-69.62005861,0.334807072,1.422654974,0.024188308,0.4825304,31.77946836,0.410666598,86.2747705,2.325150016,3.999716557,3.731829601,9.509864462,7.25016315,0.102257401,25.03189012,2.048045744,72.61860764,7.078623161,6.885967179,6.975943209,5.267060745,4.78779122,-0.123773895,29.16047486,6.488672757,86.59349605,16.98191176,6.611349724,9.06204766,8.198581603,7.892586645,-0.335312175,39.25438156,16.51497089,89.16335888,35.0870494,148.3051071,9.427267319,10.13032883,16.31705758,14.01985098,-0.28381601,4757.77527,106.7286622,43.33995555,1.205780268,1.220132947,1.239103556,1.274226785,25,89.16335888,1.178922919,2.326125727,1.159669885,2.435158141,1.201360586,2.318022428,1.171262091,2.058360459,1.242202101,5.128783349,1.199676656,6.00809668,1.279120628,4.582680393,1.280372574,4.566682668,81.52858534
09-09-2018,2,156.094461,143.4525501,0.655034525,0.950557417,1.851101148,19.28346471,4.323355348,0.621732529,23.38997661,6.249707303,30.67822496,0,1.013679033,17.58877462,32.37605363,27.02199277,12.41597612,8.360789632,9.63714501,3.00284226,43.7117505,0.655034525,0.950557417,492.5621091,104.5310103,43.21701311,290.110218,14.11880961,62.01868413,47.36808899,-69.59749707,0.403650495,1.43392739,0.151580009,1.85786994,31.52793006,0.410671926,86.15107275,2.32746075,3.985053874,3.74064935,9.505804149,7.231475627,0.100712676,25.67950816,2.063667954,74.7422556,7.036105839,6.752732225,7.15104838,5.059809501,4.777922087,-0.12886601,29.20775076,6.465583577,86.32502873,16.81644964,6.591982406,9.075923076,8.291195916,7.941822398,-0.336359957,39.21504906,16.3314028,89.94794248,34.91126368,143.4525501,9.462279946,10.35078276,16.2866389,13.84499886,-0.282778149,4741.580066,105.2340409,44.25164281,1.203511715,1.216483593,1.23517549,1.268666863,25,89.94794248,1.179399973,2.327717739,1.164265529,2.411086475,1.202644187,2.303575804,1.171361091,2.069997114,1.242697555,5.120354651,1.208919165,5.786540293,1.283907168,4.522278103,1.277786665,4.599884819,80.58429687
10-09-2018,2,153.7893907,140.118729,0.754960435,1.878661998,1.884810498,18.91056371,4.121979674,0.639166257,34.84795021,2.971040217,30.38521613,0,1.034582625,17.25837859,31.04460481,25.93810917,11.63707827,7.214561218,8.811883329,2.855636327,42.98083317,0.754960435,1.878661998,493.8725262,104.5807173,43.00113021,291.980606,14.21164615,60.50579506,47.38106238,-69.59481068,0.292845197,1.418510262,0.246830697,2.800552899,31.83193818,0.410865786,86.27528109,2.317486297,3.972398993,3.724389855,9.506807706,7.231177238,0.099727679,26.11560351,2.07084482,76.06261887,6.999993072,6.664089433,7.333465704,4.880306583,4.809104985,-0.113591731,29.69434514,6.434608015,86.53455729,16.69621344,6.581628323,9.126033031,8.331947838,8.055214364,-0.335152149,39.34952874,16.23805266,90.27334748,34.80037846,140.118729,9.373128975,10.65798566,16.10216169,13.57323633,-0.282189132,4727.678784,103.4977094,43.95698104,1.206840634,1.219977856,1.238060832,1.27237761,25,90.27334748,1.178622885,2.320497051,1.166982313,2.395159438,1.20142615,2.297242022,1.173326172,2.074765167,1.242601554,5.121985136,1.214763636,5.656281746,1.283106012,4.532245719,1.280422964,4.566041757,81.78579578
